SiteID,StreamName,ProgID,Landmark,Type,Tags,SegID,ADBCode,ADBSegName,EcoRegionDesig,County,MajorBasin,DrainageArea,ThermalClass,HUC12,UTMNorth,UTMEast,LatDD,LonDD,IsRiffle,IsPublicLand,CurrentStatus
855,Willow Creek,Site 4,Royal,Wadeable,TMDL,6299,IA 06-LSR-0224_0,Willow Creek,47a,Clay,Missouri,18.573,Warm Water,huc102300030901,4769567,308448,43.05463,-95.35212,N/A,False,Survey Site
856,Willow Creek,Site 5,Royal,Wadeable,TMDL,6299,IA 06-LSR-0224_0,Willow Creek,47a,Clay,Missouri,11.42,Warm Water,huc102300030901,4772726,305727,43.08236,-95.38661,N/A,False,Survey Site
857,Jackson Creek,,Corydon,Wadeable,,1332,IA 05-CHA-0063_0,Jackson Creek,40a,Wayne,Missouri,53.482,Warm Water,huc102802010104,4515377,481881,40.78918,-93.21475,N/A,False,Survey Site
858,Wolf Creek,,Millerton,Wadeable,,1339,IA 05-CHA-0070_0,Wolf Creek,40a,Lucas,Missouri,33.777,Warm Water,huc102802010205,4528270,469999,40.90497,-93.35621,N/A,False,Survey Site
859,Walnut Creek,,Huxley,Wadeable,Headwater Reference Study,953,IA 03-SSK-0058_0,Walnut Creek,47b,Story,Mississippi,17.689,Warm Water,huc070801050901,4643122,452544,41.93864,-93.57246,No,False,Survey Site
860,Elk Run Creek,,Lanesboro,Wadeable,,1161,IA 04-RAC-0127_0,Elk Run,47b,Carroll,Mississippi,33.322,Warm Water,huc071000060804,4672629,355065,42.19239,-94.75532,Yes,False,Survey Site
861,Peck Creek,PeCr3,Osterdock,Headwater,"TMDL,Headwater Reference Study,peck project",168,IA 01-TRK-0260_0,Pecks Creek,52b,Clayton,Mississippi,3.96,Cold Water,huc070600040904,4728034,648920,42.69036,-91.18207,N/A,False,Survey Site
862,Mill Creek,PeCr4,Osterdock,Wadeable,"Headwater Reference Study,TMDL,peck project",6500,IA 01-TRK-0265_0,Mill Creek,52b,Clayton,Mississippi,2.919,Warm Water,huc070600040904,4729972,651530,42.7073,-91.14971,N/A,False,Survey Site
863,Peck Creek,PeCr5,Osterdock,Wadeable,"Headwater Reference Study,TMDL,peck project",6501,IA 01-TRK-0261_0,Peck Creek,52b,Clayton,Mississippi,2.281,Warm Water,huc070600040904,4726040,648441,42.67251,-91.18844,N/A,False,Survey Site
864,Middle Fork Grand River,MFGR1,Mount Ayr,Wadeable,TMDL,1378,IA 05-GRA-0180_0,Middle Fork Grand River,40a,Ringgold,Missouri,42.386,Warm Water,huc102801010302,4492071,385268,40.57147,-94.35544,N/A,False,Survey Site
